Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 1,Gas,KWh,Meter 1,09/03/2013,6.226,5.6034,14.3198,12.7633,8.4051,11.8294,6.226,16.1876,8.0938,13.3859,5.6034,10.5842,14.6311,12.7633,8.0938,6.5373,12.452,14.6311,11.5181,7.4712,10.8955,10.5842,13.6972,8.0938,8.7164,6.8486,14.0085,11.2068,11.8294,6.226,14.0085,12.1407,11.8294,5.2921,13.3859,14.0085,7.4712,12.452,5.2921,12.1407,12.7633,12.1407,12.7633,11.8294,13.0746,9.9616,9.6503,11.5181
Building 1,Gas,KWh,Meter 1,10/03/2013,12.452,12.7633,11.8294,12.7633,12.1407,12.452,12.452,12.452,12.452,12.1407,13.0746,12.452,12.7633,12.1407,12.7633,12.1407,12.7633,10.5842,12.7633,10.2729,12.452,11.5181,12.7633,12.7633,12.1407,14.0085,12.452,12.7633,12.1407,13.3859,12.452,12.7633,12.452,13.6972,12.1407,13.0746,12.452,12.7633,12.7633,12.452,13.6972,12.452,12.7633,13.3859,14.9424,12.1407,15.2537,14.3198
Building 1,Gas,KWh,Meter 1,11/03/2013,14.3198,12.7633,14.3198,12.7633,13.3859,13.0746,13.3859,13.0746,13.3859,13.0746,13.6972,13.3859,15.2537,13.6972,16.1876,14.3198,14.3198,17.1215,12.452,14.3198,15.565,20.2345,13.3859,18.3667,18.0554,13.3859,15.2537,17.1215,16.1876,14.6311,4.9808,12.1407,18.678,16.1876,14.3198,12.1407,15.2537,16.1876,13.3859,13.0746,16.1876,16.8102,13.0746,13.6972,16.1876,17.7441,14.0085,14.0085
Building 1,Gas,KWh,Meter 1,12/03/2013,16.4989,17.4328,12.1407,19.6119,11.5181,18.9893,13.3859,16.1876,16.1876,14.9424,16.1876,16.8102,13.0746,16.8102,15.565,25.2153,20.5458,18.3667,23.6588,18.678,18.3667,19.6119,15.2537,18.678,21.4797,15.565,17.1215,15.2537,18.0554,17.4328,14.6311,18.9893,17.1215,14.3198,14.6311,14.6311,13.0746,13.3859,20.2345,13.0746,15.565,13.6972,19.6119,13.0746,15.565,17.4328,13.3859,16.4989
Building 1,Gas,KWh,Meter 1,13/03/2013,17.1215,13.6972,14.6311,18.3667,14.9424,13.3859,15.8763,18.9893,13.6972,14.6311,18.9893,13.0746,16.1876,17.1215,13.3859,17.1215,16.1876,17.1215,15.8763,15.565,9.9616,13.6972,16.8102,15.8763,14.0085,14.3198,11.8294,12.1407,15.565,15.2537,8.7164,9.9616,11.8294,10.8955,7.4712,9.0277,7.1599,11.8294,10.2729,6.8486,13.0746,7.7825,22.4136,14.3198,15.565,14.6311,15.2537,16.1876
Building 1,Gas,KWh,Meter 1,14/03/2013,15.2537,14.3198,11.8294,14.9424,17.7441,16.4989,14.9424,14.3198,12.7633,17.4328,16.1876,16.1876,13.0746,19.3006,12.7633,24.5927,15.2537,15.2537,11.5181,10.8955,6.226,11.8294,7.1599,11.8294,5.6034,5.9147,31.4413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,15/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,16/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,17/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,18/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,19/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,20/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,21/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,22/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,23/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building 1,Gas,KWh,Meter 1,24/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
